Time_Step,Qw,Qx,Qy,Qz
69,0.9975798735349211,-0.0307635461488905,0.02834752881024918,-0.05553753466574082
70,0.9975337840463052,-0.030934378141964987,0.02897973206900948,-0.055942730219733054
71,0.9974826724216983,-0.03117148770127125,0.029351246271287258,-0.05652575444236634
72,0.9974097334634258,-0.0314369299082696,0.029769728271883022,-0.05743958834269808
73,0.9973776865192568,-0.03184284650060532,0.029743013348332258,-0.05778526384117834
74,0.9973326211306335,-0.03219400851257449,0.02993954609969523,-0.058265017153834364
75,0.9973813445787746,-0.03296026924825629,0.02926072653664653,-0.057340073420478414
76,0.9973250537685434,-0.03290915606545662,0.030066080463307204,-0.057928882072807546
77,0.9973034000987208,-0.03330611030301379,0.029994331412437562,-0.05811171354499364
78,0.9973324798448875,-0.033817688238148624,0.029692055124511188,-0.05746886523290052
